rota,id,escolas_postos,tipo_escola,logradouro,numero,bairro,subprefeitura,lat,lon,quantidade
0,178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CEI,RUA,-1,CAJU,CENTRO,-22.88089,-43.22533,20
1,634,EM ALICE DO AMARAL PEIXOTO,EM,RUA,187,BENFICA,CENTRO,-22.88957,-43.2362,121
2,600,EM URUGUAI,EM,RUA,192,BENFICA,CENTRO,-22.89849,-43.23776,591
3,540,EM HENRIQUE DODSWORTH,EM,AVENIDA,474,IPANEMA,ZONA SUL,-22.98196,-43.21358,516
4,017,E.M PRESIDENTE JOSE LINHARES,EM,RUA,90,IPANEMA,ZONA SUL,-22.98333,-43.19904,48
5,483,EM CELESTINO SILVA,EM,RUA,56,CENTRO,CENTRO,-22.90929,-43.18358,220
6,132,EM PEREIRA PASSOS,EM,PRACA,45,RIO COMPRIDO,CENTRO,-22.92441,-43.20858,67
7,476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,EM,PRACA,20,SAO CRISTOVAO,CENTRO,-22.89763,-43.22746,190
8,268,ESCOLA MUNICIPAL MINAS GERAIS,EM,AVENIDA,433,URCA,ZONA SUL,-22.95382,-43.16888,308
9,035,EM SENADOR CORREA,EM,RUA,-1,LARANJEIRAS,ZONA SUL,-22.93399,-43.18101,525
10,089,EM MARIO CLAUDIO,EM,RUA,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
11,413,EM COCIO BARCELOS,EM,RUA,34,COPACABANA,ZONA SUL,-22.97483,-43.18906,0
12,055,EM SANTA CATARINA,EM,RUA,38,SANTA TERESA,CENTRO,-22.91554,-43.19159,92
13,331,CIEP TANCREDO NEVES,CIEP,RUA,77,CATETE,ZONA SUL,-22.92278,-43.17668,223
14,309,EM MEXICO,EM,RUA,67,BOTAFOGO,ZONA SUL,-22.95271,-43.19176,319
15,413,EM COCIO BARCELOS,EM,RUA,34,COPACABANA,ZONA SUL,-22.74828,-43.18906,0
16,606,EM PROFESSOR CASTILHO,EM,ESTRADA,4406,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521
17,558,EM CICERO PENA,EM,AVENIDA,1976,COPACABANA,ZONA SUL,-22.96865,-43.18114,573
18,450,EM ALBERTO BARTH,EM,AVENIDA,124,FLAMENGO,ZONA SUL,-22.94071,-43.17647,420
19,523,EM PRESIDENTE DA COSTA E SILVA,EM,RUA,257,BOTAFOGO,ZONA SUL,-22.94556,-43.18659,111
20,387,CIEP PRESIDENTE AGOSTINHO NETO,CIEP,RUA,-1,HUMAITA,ZONA SUL,-22.95917,-43.19972,456
21,474,EM ENGENHEIRO GASTAO RANGEL,EM,ESTRADA,-1,GUARATIBA,ZONA OESTE,-22.98046,-43.64354,320
22,210,EM DEBORA MENDES DE MORAES,EM,RUA,643,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570
23,289,EM BERTHA LUTZ,EM,ESTRADA,2075,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329
